tema,clasificacion,ponderacion,sumatoria_ponderaciones,contador,grado_de_conocimiento,matriz_ponderacion,matriz_inferencia,matriz_inferencia_final,dificultad,discriminacion,adivinacion,asintota,orden_evaluacion
98,1,0,0,1,0,"[0, 0, 0]","[26.3613112725287, 37.790618466807075, 35.84807026066422]","[0, 0, 0]",-1.97142857,1.0,0.263613112725287,1,-1
178,3,67,0,1,1,"[0, 100, 0]","[18.770847197991138, 38.74411162666062, 42.485041175348236]","[9.385423598995569, 69.3720558133303, 21.242520587674115]",-0.25714286,1.0,0.1877084719799114,1,3
179,1,0,0,1,0,"[0, 0, 0]","[23.233243422269283, 31.848107114925966, 44.91864946280476]","[0, 0, 0]",-0.25714286,1.0,0.2323324342226928,1,-1
180,1,0,0,1,0,"[0, 0, 0]","[32.894742605549425, 32.18680511141987, 34.9184522830307]","[0, 0, 0]",-0.25714286,1.0,0.32894742605549426,1,-1
32,1,0,0,1,0,"[0, 0, 0]","[31.06672628298821, 28.219565167274908, 40.71370854973688]","[0, 0, 0]",-2.05714286,1.0,0.3106672628298821,1,-1
96,1,0,0,1,0,"[0, 0, 0]","[38.1190771985173, 33.943721452203754, 27.937201349278943]","[0, 0, 0]",-2.14285714,1.0,0.38119077198517304,1,-1
97,1,0,0,1,0,"[0, 0, 0]","[12.050168189274258, 19.161888416778822, 68.78794339394692]","[0, 0, 0]",-2.05714286,1.0,0.12050168189274257,1,-1
169,1,0,0,1,0,"[0, 0, 0]","[41.934639487032086, 30.334125970966813, 27.731234542001086]","[0, 0, 0]",-1.11428571,1.0,0.4193463948703209,1,-1
177,4,83.75,83.75,2,2,"[0, 0, 100]","[25.162089050549223, 33.81259941196632, 41.02531153748446]","[12.581044525274612, 16.906299705983155, 70.51265576874223]",-0.34285714,1.0,0.25162089050549225,1,-1
31,1,0,0,1,0,"[0, 0, 0]","[39.965760325044755, 27.997084540577323, 32.037155134377926]","[0, 0, 0]",-2.14285714,1.0,0.3996576032504475,1,-1
95,1,0,0,1,0,"[0, 0, 0]","[24.280328878418377, 28.360211480134005, 47.359459641447614]","[0, 0, 0]",-2.22857143,1.0,0.24280328878418378,1,-1
101,1,0,0,1,0,"[0, 0, 0]","[26.176649735719487, 35.2055653348381, 38.61778492944241]","[0, 0, 0]",-2.31428571,1.0,0.26176649735719487,1,-1
168,1,0,0,1,0,"[0, 0, 0]","[32.31044921657012, 30.037749966085165, 37.651800817344714]","[0, 0, 0]",-1.2,1.0,0.3231044921657012,1,-1
175,4,56.25,112.5,3,0,"[100, 0, 0]","[27.130012831130575, 30.740586322255197, 42.12940084661424]","[63.565006415565286, 15.370293161127599, 21.064700423307116]",-0.42857143,1.0,0.27130012831130573,1,-1
176,4,12.5,12.5,2,0,"[100, 0, 0]","[26.89462117622986, 28.037731151334818, 45.06764767243533]","[63.44731058811493, 14.018865575667405, 22.53382383621766]",-0.42857143,1.0,0.2689462117622986,1,-1
187,1,0,0,1,0,"[0, 0, 0]","[49.77561227021548, 24.994539128848082, 25.22984860093644]","[0, 0, 0]",0.42857143,1.0,0.4977561227021548,1,-1
190,1,0,0,1,0,"[0, 0, 0]","[31.028480654109615, 33.94130138376596, 35.030217962124425]","[0, 0, 0]",1.2,1.0,0.31028480654109614,1,-1
195,1,0,0,1,0,"[0, 0, 0]","[39.662582940759755, 30.344403334019926, 29.993013725220337]","[0, 0, 0]",1.8,1.0,0.39662582940759755,1,-1
209,1,0,0,1,0,"[0, 0, 0]","[35.35539693093704, 39.98033834420075, 24.66426472486221]","[0, 0, 0]",3.0,1.0,0.3535539693093704,1,-1
30,1,0,0,1,0,"[0, 0, 0]","[36.41510192517627, 31.499270905716443, 32.08562716910728]","[0, 0, 0]",-2.4,1.0,0.36415101925176274,1,-1
44,1,0,0,1,0,"[0, 0, 0]","[18.77650215709849, 31.04451081784947, 50.178987025052045]","[0, 0, 0]",1.71428571,1.0,0.1877650215709849,1,-1
